New Payee,Category,Payee  pattern (regex),Memo pattern (regex), == ignore regex
<your name>,Asset:Bank:ING Oranje Spaarrekening,,^.*Naar Oranje spaarrekening.*$,# Keep on top
<your name>,Asset:Bank:ING Oranje Spaarrekening,,^.H12345678.*$,
Albert Heijn,Expenses:Groceries,^.*Albert Heijn.*$,,
Albert Heijn,Expenses:Groceries,^.*AH Filiaal.*$,,
Albert Heijn,Expenses:Groceries,^.*AH to go.*$,,
Jumbo,Expenses:Groceries,^Jumbo.*$,,
Lidl,Expenses:Groceries,^.*Lidl.*$,,
Aldi,Expenses:Groceries,^.*Aldi.*$,,
Tankstation,Expenses:Auto:Fuel,^.*Shell.*$,,
Tankstation,Expenses:Auto:Fuel,^.*Tinq.*$,,
Tankstation,Expenses:Auto:Fuel,^.*Tango.*$,,
Tankstation,Expenses:Auto:Fuel,^.*Makro.*Benzine.*$,,
Tankstation,Expenses:Auto:Fuel,^Esso.*$,,#Can match with nespresso
Tankstation,Expenses:Auto:Fuel,^.*ARAL.*$,,
Tankstation,Expenses:Auto:Fuel,^.*ELAN Autobedrijf.*$,,
Tankstation,Expenses:Auto:Fuel,^.*Heijden Helvoirt.*$,,
Tankstation,Expenses:Auto:Fuel,^.*FIREZONE.*$,,
Tankstation,Expenses:Auto:Fuel,^.*SB-Tank.*$,,
Tankstation,Expenses:Auto:Fuel,^.*Tankstelle.*$,,
Tankstation,Expenses:Auto:Fuel,^.*Veenema Olie.*$,,
Tankstation,Expenses:Auto:Fuel,^.*TOTAL NN.*$,,
Tankstation,Expenses:Auto:Fuel,^.*BP Express.*$,,
Tankstation,Expenses:Auto:Fuel,^Tamoil.*$,,
Belastingdienst,Expenses:Auto,,^(50-XX-XX|9-XXX-11).*$,
Belastingdienst,Expenses:Tax,^.*Belastingdienst IB.*$,,
Waterschap,Expenses:Tax,^.*Waterschap.*$,,
Apotheek,Expenses:Medical,^.*Apotheek.*$,,
Apotheek,Expenses:Medical,^.*Apotheken.*$,,
Bakkerij,Expenses:Groceries,^.*Bakkerij.*$,,
Bouwmarkt,Expenses:House:Maintenance,^.*(Hornbach|Karwei|Gamma|Praxis).*$,,
Vereniging Eigen Huis,Expenses:Subscriptions,^Vereniging Eigen Huis.*$,,
Action,Expenses:Household,^.*Action.*$,,
Blokker,Expenses:Household,^.*Blokker.*$,,
Riviera Maison,Expenses:Household,^Riviera.*$,,
Rituals,Expenses:Household,^Rituals.*$,,
HEMA,Expenses:Household,^.*HEMA.*$,,
De Bijenkorf,Expenses:Household,^.*Bijenkorf.*$,,
Gemeente,Expenses:Tax,^.*Gemeentelijke.*belasting.*$,,
Gemeente,Expenses:Tax,,^.*(Gemeentelijke belastingen|Gemeentelijke heffingen).*$,
Gemeente,Expenses:Tax,,^.*Afvalstoffen.*$,
ENRA Verzekeringen,Expenses:Insurance,^.*ENRA.*$,,
OHRA Verzekeringen,Expenses:Insurance,^.*OHRA.*$,,
REAAL Verzekeringen,Expenses:Insurance,^.*REAAL.*$,,
TAF  Verzekeringen,Expenses:Insurance,^TAF BV.*$,,
FBTO  Verzekeringen,Expenses:Insurance,^FBTO.*$,,
BOL.COM,Expenses:Household,^.*(bol\.com|BOLCOM).*$,,
Coolblue,Expenses:Household,^.*coolblue.*$,,
SVB Breda,Income:Kids,,^.*kinderbijslag.*$,
Netflix,Expenses:Entertainment,^.*Netflix.*$,,
Zara,Expenses:Clothing,^Zara.*$,,
Zalando,Expenses:Clothing,^Zalando.*$,,
The Sting,Expenses:Clothing,^The Sting.*$,,
Zeeman,Expenses:Clothing,^Zeeman.*$,,
Omoda,Expenses:Clothing,^.*Omoda.*$,,
Omoda,Expenses:Clothing,,^.*Omoda.*$,
Delta Energie,Expenses:Utilities,^Delta Energie.*$,,
FENOR BV,Expenses:Utilities,^Fenor B V.*$,,
Budgetenergie,Expenses:Utilities,^Budgetenergie*$,,
EnergieDirect,Expenses:Utilities,^.*energiedirect.*$,,
GreenChoice,Expenses:Utilities,^.*GREENCHOICE.*$,,
BUDGETENERGIE,Expenses:Utilities,^.*BUDGETENERGIE.*$,,
Slagerij,Expenses:Groceries,^.*Slagerij.*$,,
De Wever,Income:Ludy,^.*De Wever.*$,,
OV-Chipkaart,Expenses:Public Transportation,^.*OV-Chipkaart.*$,,
,Expenses:None,,^.*oppas.*$,
Rabobank,Income:Interest,,^.*(Rente over periode 01|Couponrente|Contant Dividend).*$,
SuperDry,Expenses:Clothing,,^.*SuperDry.*$,
Hunkemoller,Expenses:Clothing,,^.*Hunkemoller.*$,
STARBUCKS,Expenses:Restaurant,^Starbucks.*$,,
Rabobank,Expenses:Bank Fee,,^.*Rabo (DirectPakket|Wereldpas|TotaalPakket).*$,
Rabobank,Income:Interest,,^Eff\.nota.*$,
NS,Expenses:Public Transportation,^.*NS GROEP.*$,,
Spotify,Expenses:Subscriptions,^.*Spotify.*$,,
,Expenses:Subscriptions,,^.*Spotify.*$,
Booking.com,Expenses:Vacation,^.*Booking\.com.*$,,
Hotel,Expenses:Vacation,^.*Hotel.*$,,
Hotel,Expenses:Vacation,,^.*Hotel.*$,
Boekhandel,Expenses:Household,^.*(Bruna|boekhandel).*$,,
Bloemist,Expenses:Gifts,^.*(Casa verde|Bloemist|Bloemen|Fleurop|Boeketje).*$,,
,Expenses:Gifts,,^.*Kado.*$,
C&A,Expenses:Clothing,^.*C&A.*$,,
Promiss,Expenses:Clothing,^.*Promiss.*$,,
Miss Etam,Expenses:Clothing,^.*Etam.*$,,
Miss Etam,Expenses:Clothing,,^.*Miss Etam.*$,
Van Haren,Expenses:Clothing,^.*VanHaren.*$,,
Autobedrijf,Expenses:Auto,^.*Autobedrijf.*$,,
Restaurant,Expenses:Restaurant,,^.*Restaurant.*$,
Restaurant,Expenses:Restaurant,^.*Restaurant.*$,,
Consumentenbond,Expenses:Subscriptions,^.*Consumentenbond.*$,,
Tuincentrum,Expenses:Household,^.*(Coppelmans|Intratuin|Kwekerij).*$,,
Decathlon,Expenses:Sport,^.*Decathlon.*$,,
Diamant Groep Restaurant,Expenses:Restaurant,^Diamant-Groep.*$,,
Elektramat,Expenses:House:Maintenance,^.*Elektramat.*$,,
Kapper,Expenses:Care,^.*Haarmode.*$,,
Ikea,Expenses:Household,^.*Ikea.*$,,
Glazenwasser,Expenses:Household,^.*Glazenwasser.*$,,
Nespresso,Expenses:Groceries,,^.*Nespresso.*$,
Nespresso,Expenses:Groceries,^.*Nespresso.*$,,
Simyo,Expenses:Phone,,^.*Simyo.*$,
KPN,Expenses:Phone,,^.*KPN Opwaarderen.*$,
Simpel,Expenses:Phone,^.*SIMPEL NL BV.*$,,
Hollandsnieuwe,Expenses:Phone,^.*hollandsnieuwe.*$,,
Groenteboer,Expenses:Groceries,^.*Groenten.*$,,
Loes Schoenmakers,Expenses:Cash,,^(Spaarpot).*$,
ING Bank,Expenses:Bank Fee,^Kosten (OranjePakket|tweede rekeninghouder).*$,,
ING Bank,Income:Interest,^Rente ING Rood Staan.*$,,
ING Bank,Income:Interest,,,
,Income:Interest,,^Dividend.*$,
DeGiro,Income:Interest,,^DeGiro Geldmarktfondsen Compensatie.*$,
DeGiro,Income:Interest,,^DeGiro Aansluitingskosten.*$,
DeGiro,Income:Interest,,^Valuta (Creditering|Debitering).*$,
DeGiro,Income:Interest,,^DEGIRO Corporate Action Kosten.*$,
Transavia,Expenses:Vacation,^Transavia.*$,,
,Expenses:Household,,^.*Geldautomaat.*$,
V&D,Expenses:Household,^.*V&D.*$,,
Wehkamp,Expenses:Household,^Wehkamp.*$,,
Dungelmann,Expenses:Clothing,^.*Dungelmann.*$,,
Dungelmann,Expenses:Clothing,,^.*Dungelmann.*$,
Van den Assem,Expenses:Clothing,^Van den Assem.*$,,
Triumph,Expenses:Clothing,^Triumph.*$,,
Shoeby,Expenses:Clothing,^Shoeby.*$,,
McDonalds,Expenses:Restaurant,^.*McDonalds.*$,,
,Income:Interest,,^.*Rente.*$,"# Put at end, catch all"
,Income:Interest,^.*Rente.*$,,"# Put at end, catch all"
 ,Expenses:Imbalance-EUR,^.*$,,# LAST ENTRY
 ,Expenses:Imbalance-EUR,,^.*$,# LAST ENTRY
